Дата,Курс,Отклонение от медианы,Отклонение от среднего
2021-12-25,73.1886,41.79599999999999,29.923274198298422
2021-12-24,73.3583,41.9657,30.09297419829843
2021-12-23,73.7901,42.397499999999994,30.524774198298424
2021-12-22,73.8206,42.428,30.555274198298427
2021-12-21,74.2947,42.902100000000004,31.029374198298434
2021-12-18,73.733,42.3404,30.467674198298432
2021-12-17,73.5708,42.178200000000004,30.305474198298434
2021-12-16,73.851,42.4584,30.585674198298427
2021-12-15,73.4698,42.077200000000005,30.204474198298435
2021-12-14,73.4107,42.018100000000004,30.145374198298434
2021-12-11,73.6059,42.213300000000004,30.340574198298434
2021-12-10,73.5998,42.2072,30.33447419829843
2021-12-09,73.8453,42.45269999999999,30.579974198298423
2021-12-08,74.1399,42.747299999999996,30.874574198298426
2021-12-07,73.6694,42.276799999999994,30.404074198298424
2021-12-04,73.7426,42.349999999999994,30.477274198298424
2021-12-03,74.0637,42.671099999999996,30.798374198298426
2021-12-02,73.9746,42.581999999999994,30.709274198298424
2021-12-01,74.8926,43.5,31.62727419829843
2021-11-30,74.9818,43.589200000000005,31.716474198298435
2021-11-27,75.5873,44.1947,32.32197419829843
2021-11-26,74.6004,43.20779999999999,31.335074198298422
2021-11-25,74.3726,42.980000000000004,31.107274198298434
2021-11-24,74.8327,43.4401,31.56737419829843
2021-11-23,73.4506,42.05799999999999,30.185274198298423
2021-11-20,72.7617,41.3691,29.496374198298433
2021-11-19,72.6022,41.209599999999995,29.336874198298425
2021-11-18,72.8228,41.4302,29.55747419829843
2021-11-17,72.5553,41.1627,29.28997419829843
2021-11-16,72.2724,40.8798,29.007074198298433
2021-11-13,71.8118,40.419200000000004,28.546474198298434
2021-11-12,71.1964,39.803799999999995,27.931074198298425
2021-11-11,70.695,39.30239999999999,27.42967419829842
2021-11-10,71.2866,39.894000000000005,28.021274198298435
2021-11-09,71.3975,40.00489999999999,28.132174198298422
2021-11-04,71.4876,40.095,28.22227419829843
2021-11-03,71.4783,40.0857,28.212974198298433
2021-11-02,71.0863,39.69369999999999,27.820974198298423
2021-10-30,70.52,39.127399999999994,27.254674198298424
2021-10-29,70.5207,39.1281,27.255374198298433
2021-10-28,69.8104,38.4178,26.54507419829843
2021-10-27,69.5526,38.16,26.287274198298427
2021-10-26,70.1345,38.7419,26.86917419829843
2021-10-23,70.8623,39.4697,27.596974198298433
2021-10-22,70.9904,39.59779999999999,27.725074198298422
2021-10-21,71.0555,39.66289999999999,27.790174198298423
2021-10-20,70.9674,39.574799999999996,27.702074198298426
2021-10-19,71.1714,39.778800000000004,27.906074198298434
2021-10-16,71.2371,39.8445,27.971774198298426
2021-10-15,71.7846,40.391999999999996,28.519274198298426
2021-10-14,71.8577,40.46509999999999,28.592374198298423
2021-10-13,71.8801,40.4875,28.614774198298427
2021-10-12,71.6373,40.244699999999995,28.371974198298425
2021-10-09,71.9882,40.595600000000005,28.722874198298435
2021-10-08,72.2854,40.892799999999994,29.020074198298424
2021-10-07,72.5682,41.1756,29.302874198298433
2021-10-06,72.5686,41.176,29.303274198298432
2021-10-05,72.9239,41.5313,29.65857419829843
2021-10-02,72.9215,41.52889999999999,29.656174198298423
2021-10-01,72.6642,41.27159999999999,29.398874198298422
2021-09-30,72.7608,41.3682,29.49547419829843
2021-09-29,72.5083,41.115700000000004,29.242974198298434
2021-09-28,72.6613,41.268699999999995,29.395974198298426
2021-09-25,73.0081,41.6155,29.742774198298427
2021-09-24,72.7245,41.331900000000005,29.459174198298435
2021-09-23,72.8806,41.488,29.61527419829843
2021-09-22,73.2067,41.814099999999996,29.941374198298426
2021-09-21,73.3315,41.938900000000004,30.066174198298434
2021-09-18,72.5602,41.16759999999999,29.294874198298423
2021-09-17,72.4329,41.0403,29.167574198298432
2021-09-16,72.852,41.4594,29.586674198298432
2021-09-15,72.7171,41.3245,29.45177419829843
2021-09-14,73.0841,41.691500000000005,29.818774198298435
2021-09-11,72.76,41.3674,29.494674198298434
2021-09-10,73.129,41.7364,29.863674198298433
2021-09-09,73.4421,42.049499999999995,30.176774198298425
2021-09-08,73.1909,41.7983,29.925574198298428
2021-09-07,72.9538,41.5612,29.68847419829843
2021-09-04,72.8545,41.4619,29.58917419829843
2021-09-03,72.8491,41.456500000000005,29.583774198298435
2021-09-02,73.1912,41.79859999999999,29.925874198298423
2021-09-01,73.2781,41.88549999999999,30.012774198298423
2021-08-31,73.5744,42.181799999999996,30.309074198298426
2021-08-28,73.9866,42.593999999999994,30.721274198298424
2021-08-27,73.9908,42.59819999999999,30.72547419829842
2021-08-26,73.7428,42.3502,30.47747419829843
2021-08-25,73.9465,42.5539,30.68117419829843
2021-08-24,74.0666,42.67399999999999,30.801274198298422
2021-08-21,74.364,42.9714,31.098674198298433
2021-08-20,74.1503,42.7577,30.88497419829843
2021-08-19,73.4633,42.0707,30.197974198298432
2021-08-18,73.4753,42.0827,30.209974198298433
2021-08-17,73.392,41.999399999999994,30.126674198298424
